,0,1,2,3,4
V Star,Apple iPhone XR,Apple iPhone Xs Max,Apple iPhone 11,Nikon D7200,Microsoft Surface Laptop
1,Apple iPhone Xs Max,Apple iPhone XR,Apple iPhone 11 Pro,Nikon D7500,Surface Laptop 2
2,Apple iPhone XS,Apple iPhone XS,Apple iPhone 11 Pro Max,Nikon D750,Surface Pro 6
3,Apple iPhone X,Apple iPhone X,Apple iPhone X,Nikon D5600,Microsoft Surface Book
4,Apple iPhone 8,Apple iPhone 8 Plus,Apple iPhone XS,Nikon D500,Microsoft Surface Laptop 3
5,Apple iPhone 8 Plus,Apple iPhone 8,Apple iPhone XR,Nikon D5000,Microsoft Surface 2
6,Apple iPhone 7 Plus,Canon Ivy REC,Apple iPhone Xs Max,Nikon D5100,Microsoft Surface Pro 6
7,Apple iPhone SE,Monogram ZIRS360NHLH,Apple iPhone 8 Plus,Nikon D40,Microsoft Surface Pro 4
8,Sliver,Apple iPhone SE,Apple iPhone 8,Nikon D3100,Microsoft Surface Book 2
9,Apple iPhone 7,Apple iPhone 11,Dream Phone,Nikon D3500,Surface Pro
10,Microsoft Lumia 950,Apple iPhone 7,Apple iPhone 7 Plus,Nikon D70,Microsoft Surface Pro
11,Apple iPhone 3GS,Apple iPhone 7 Plus,Mall Madness,Nikon D800,Microsoft Surface Pro X
12,Monogram ZIRS360NHLH,Nokia 7 Plus,Monogram ZIRS360NHLH,Nikon D90,Microsoft Surface Pro 2
13,Apple iPhone 11,Apple iPhone 5,Apple iPhone 6,Nikon D200,Microsoft Surface Pro 7
14,Apple iPhone 6,Apple iPhone 4S,Realme X,Nikon D3300,Microsoft Surface Duo
15,Bazaar,Apple iPhone 6,Bazaar,Nikon D80,Microsoft Surface Pro 3
16,Dream Phone,Dell Inspiron 580,Apple iPhone 4S,Nikon D60,Microsoft Surface Go
17,Apple iPhone 6 Plus,Dream Phone,Canon Ivy REC,Nikon KeyMission 360,Acer Aspire F 15 F5-573G
18,Apple iPhone 11 Pro Max,Apple iPhone 6 Plus,Apple iPhone SE,Canon EOS 200D Rebel SL2,Microsoft Surface Neo
19,Apple iPhone 6S Plus,Apple iPhone 6S Plus,Apple iPhone 5S,NuVision TM800A510L,MovinCool OFFICEPRO60
20,Dell Inspiron 580,"64.5"" Samsung QE65Q9FN",Nokia 6,Nikon D3400,Lenovo ThinkPad X1 Tablet (3RD Gen)
21,Apple iPhone 6S,Apple iPhone 11 Pro Max,Apple iPhone 6S Plus,Canon EOS Rebel T7,HP Pavilion X360 14M
22,Canon Ivy REC,VIZIO D43N-E4 D-Series,Apple iPhone 7,Canon EOS Rebel T3,ASUS FX502VM AS73
